"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ПЕсли выполнить запрос без авторизации, вернётся код ответа 401 Unauthorized","544","Тест получения заказов неавторизованного пользователя","tests","Mon Aug 04 14:40:31 GMT 2025","passed","Mon Aug 04 14:40:32 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: создать пользователя и не заполнить обязательное поле emmail","538","Тест регистрации пользователя без заполненного поля email","tests","Mon Aug 04 14:40:17 GMT 2025","passed","Mon Aug 04 14:40:17 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: После изменение логина и имени пользователя,             при запросе данных, возвращается код 200","1176","Тест изменение логина и имени пользователя с авторизацией","tests","Mon Aug 04 14:40:24 GMT 2025","passed","Mon Aug 04 14:40:25 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 200","3523","Тест возвращения кода 200 при успешном создании заказа с авторизацией","tests","Mon Aug 04 14:39:53 GMT 2025","passed","Mon Aug 04 14:39:57 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: логин под существующим пользователем, возвращается 200","621","Тест получения кода 200, при авторизации текущего пользователя","tests","Mon Aug 04 14:40:33 GMT 2025","passed","Mon Aug 04 14:40:33 GMT 2025","TestRegisterUser","test_login_user","",""
"Если не передать ни один ингредиент, вернётся код ответа 400 Bad Request","1170","Тест получения ошибки, при создании заказа без ингредиентов                 авторизованным пользователем","tests","Mon Aug 04 14:40:08 GMT 2025","passed","Mon Aug 04 14:40:09 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: создать пользователя и не заполнить обязательное поле password,            вернется коды 403","543","Тест регистрации пользователя без заполненного поля password","tests","Mon Aug 04 14:40:17 GMT 2025","passed","Mon Aug 04 14:40:18 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: успешноое создание уникального пользователя и возвращение кода 200","1585","Тест получения кода 2000 при успешной регистрации нового пользователя","tests","Mon Aug 04 14:40:13 GMT 2025","passed","Mon Aug 04 14:40:15 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: авторизация с неверным 'email', возвращает 401","541","Тест получения кода 401, при авторизации пользователя с неверным 'email'","tests","Mon Aug 04 14:40:35 GMT 2025","passed","Mon Aug 04 14:40:35 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: создать пользователя, который уже зарегистрирован","2121","Тест регистрации существующего пользователя","tests","Mon Aug 04 14:40:15 GMT 2025","passed","Mon Aug 04 14:40:17 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: После изменение имени пользователя,             при запросе данных, возвращается измененное имя","1173","Тест изменение имени пользователя с авторизацией","tests","Mon Aug 04 14:40:21 GMT 2025","passed","Mon Aug 04 14:40:22 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа с ингредиентами,             авторизованным пользователем, в ответе содержится id ингредиента","3656","Тест создания заказа c ингредиентами авторизованным пользователем","tests","Mon Aug 04 14:40:03 GMT 2025","passed","Mon Aug 04 14:40:07 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: авторизация без пароля, возвращает 401","542","Тест получения кода 401, при авторизации пользователя без пароля","tests","Mon Aug 04 14:40:41 GMT 2025","passed","Mon Aug 04 14:40:42 GMT 2025","TestRegisterUser","test_login_user","",""
"При успешном подключении бэкенд вернёт максимум        50 последних заказов пользователя","1515","Тест получения заказов автризованного пользователя","tests","Mon Aug 04 14:40:29 GMT 2025","passed","Mon Aug 04 14:40:30 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: авторизация с неверным паролем, возвращает 401","622","Тест получения кода 401, при авторизации пользователя с неверным паролем","tests","Mon Aug 04 14:40:37 GMT 2025","passed","Mon Aug 04 14:40:37 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при создании заказа без авторизаци в теле ответа вернется         'success: false'. Здесь намеренный баг, изменить нет возможности,         т.к. нет доступа к разработке поэтому ожидаемый результат именен на 'True'","3031","Тест создания заказа без авторизации","tests","Mon Aug 04 14:39:58 GMT 2025","passed","Mon Aug 04 14:40:01 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: при запросе на изменени логина пользователя без авторизации, вернется код 401","538","Тест изменение логина пользователя без авторизации","tests","Mon Aug 04 14:40:27 GMT 2025","passed","Mon Aug 04 14:40:27 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 'success: true'","3590","Тест возвращения сообщения при успешном создании заказа с авторизацией","tests","Mon Aug 04 14:39:48 GMT 2025","passed","Mon Aug 04 14:39:52 GMT 2025","TestRegisterUser","test_create_order","",""
"Если не передать неверный хеш ингредиентов,         вернётся код ответа 500 Internal Server Error","1170","Тест получения ошибки, при создании заказа с неверным хешем ингредиентов","tests","Mon Aug 04 14:40:11 GMT 2025","passed","Mon Aug 04 14:40:12 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: После изменение логина пользователя,            при запросе данных, возвращается измененный логин","1166","Тест изменение логина пользователя с авторизацией","tests","Mon Aug 04 14:40:19 GMT 2025","passed","Mon Aug 04 14:40:20 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: авторизация без поля 'email', возвращает 401","627","Тест получения кода 401, при авторизации пользователя с без поля 'email'","tests","Mon Aug 04 14:40:39 GMT 2025","passed","Mon Aug 04 14:40:40 GMT 2025","TestRegisterUser","test_login_user","",""
